method	metric	value	signal_strength	rep
Focused_BH_original	fdp	0.2857142857142857	2	87
Yekutieli	fdp	0	2	87
Structured_Holm	fdp	0	2	87
BH	power	6	2	100
Leaf_BH	power	1	2	100
Focused_BH_original	power	6	2	100
Yekutieli	power	0	2	100
Structured_Holm	power	5	2	100
BH	fdp	0	2	100
Leaf_BH	fdp	0	2	100
Focused_BH_original	fdp	0	2	100
Yekutieli	fdp	0	2	100
Structured_Holm	fdp	0	2	100
BH	power	5	2	113
Leaf_BH	power	0	2	113
Focused_BH_original	power	5	2	113
Yekutieli	power	0	2	113
Structured_Holm	power	5	2	113
BH	fdp	0.2857142857142857	2	113
Leaf_BH	fdp	0	2	113
Focused_BH_original	fdp	0.2857142857142857	2	113
Yekutieli	fdp	0	2	113
Structured_Holm	fdp	0	2	113
BH	power	4	2	126
Leaf_BH	power	0	2	126
Focused_BH_original	power	4	2	126
Yekutieli	power	0	2	126
Structured_Holm	power	4	2	126
BH	fdp	0.2	2	126
Leaf_BH	fdp	1	2	126
Focused_BH_original	fdp	0.2	2	126
Yekutieli	fdp	0	2	126
Structured_Holm	fdp	0.2	2	126
BH	power	5	2	139
Leaf_BH	power	2	2	139
Focused_BH_original	power	5	2	139
Yekutieli	power	13	2	139
Structured_Holm	power	5	2	139
BH	fdp	0.375	2	139
Leaf_BH	fdp	0.6	2	139
Focused_BH_original	fdp	0.375	2	139
Yekutieli	fdp	0	2	139
Structured_Holm	fdp	0	2	139
BH	power	5	2	152
Leaf_BH	power	0	2	152
Focused_BH_original	power	5	2	152
Yekutieli	power	0	2	152
Structured_Holm	power	5	2	152
BH	fdp	0	2	152
Leaf_BH	fdp	0	2	152
Focused_BH_original	fdp	0	2	152
Yekutieli	fdp	0	2	152
Structured_Holm	fdp	0	2	152
BH	power	5	2	165
Leaf_BH	power	1	2	165
Focused_BH_original	power	5	2	165
Yekutieli	power	14	2	165
Structured_Holm	power	5	2	165
BH	fdp	0.2857142857142857	2	165
Leaf_BH	fdp	0.5	2	165
Focused_BH_original	fdp	0.16666666666666666	2	165
Yekutieli	fdp	0	2	165
Structured_Holm	fdp	0.16666666666666666	2	165
BH	power	6	2	178
Leaf_BH	power	0	2	178
Focused_BH_original	power	6	2	178
Yekutieli	power	0	2	178
Structured_Holm	power	5	2	178
BH	fdp	0	2	178
Leaf_BH	fdp	0	2	178
Focused_BH_original	fdp	0	2	178
Yekutieli	fdp	0	2	178
Structured_Holm	fdp	0	2	178
BH	power	5	2	191
Leaf_BH	power	0	2	191
Focused_BH_original	power	5	2	191
Yekutieli	power	13	2	191
Structured_Holm	power	5	2	191
BH	fdp	0	2	191
Leaf_BH	fdp	0	2	191
Focused_BH_original	fdp	0	2	191
Yekutieli	fdp	0	2	191
Structured_Holm	fdp	0	2	191
BH	power	5	2	204
Leaf_BH	power	0	2	204
Focused_BH_original	power	5	2	204
Yekutieli	power	0	2	204
Structured_Holm	power	4	2	204
BH	fdp	0	2	204
Leaf_BH	fdp	0	2	204
Focused_BH_original	fdp	0	2	204
Yekutieli	fdp	0	2	204
Structured_Holm	fdp	0	2	204
BH	power	5	2	217
Leaf_BH	power	1	2	217
Focused_BH_original	power	5	2	217
Yekutieli	power	0	2	217
Structured_Holm	power	5	2	217
BH	fdp	0.16666666666666666	2	217
Leaf_BH	fdp	0	2	217
Focused_BH_original	fdp	0.16666666666666666	2	217
Yekutieli	fdp	0	2	217
Structured_Holm	fdp	0.16666666666666666	2	217
BH	power	5	2	230
Leaf_BH	power	1	2	230
Focused_BH_original	power	5	2	230
Yekutieli	power	10	2	230
Structured_Holm	power	5	2	230
BH	fdp	0	2	230
Leaf_BH	fdp	0	2	230
Focused_BH_original	fdp	0	2	230
Yekutieli	fdp	0	2	230
Structured_Holm	fdp	0	2	230
BH	power	4	2	243
Leaf_BH	power	1	2	243
Focused_BH_original	power	4	2	243
Yekutieli	power	0	2	243
Structured_Holm	power	4	2	243
BH	fdp	0	2	243
Leaf_BH	fdp	0	2	243
Focused_BH_original	fdp	0	2	243
Yekutieli	fdp	0	2	243
Structured_Holm	fdp	0	2	243
BH	power	6	2.5	6
Leaf_BH	power	2	2.5	6
Focused_BH_original	power	6	2.5	6
Yekutieli	power	0	2.5	6
Structured_Holm	power	5	2.5	6
BH	fdp	0.14285714285714285	2.5	6
Leaf_BH	fdp	0	2.5	6
Focused_BH_original	fdp	0	2.5	6
Yekutieli	fdp	0	2.5	6
Structured_Holm	fdp	0	2.5	6
BH	power	9	2.5	19
Leaf_BH	power	5	2.5	19
Focused_BH_original	power	8	2.5	19
Yekutieli	power	27	2.5	19
Structured_Holm	power	5	2.5	19
BH	fdp	0	2.5	19
Leaf_BH	fdp	0	2.5	19
Focused_BH_original	fdp	0	2.5	19
Yekutieli	fdp	0	2.5	19
Structured_Holm	fdp	0	2.5	19
BH	power	5	2.5	32
Leaf_BH	power	2	2.5	32
Focused_BH_original	power	5	2.5	32
Yekutieli	power	24	2.5	32
Structured_Holm	power	5	2.5	32
BH	fdp	0	2.5	32
Leaf_BH	fdp	0	2.5	32
Focused_BH_original	fdp	0	2.5	32
Yekutieli	fdp	0	2.5	32
Structured_Holm	fdp	0	2.5	32
BH	power	6	2.5	45
Leaf_BH	power	1	2.5	45
Focused_BH_original	power	5	2.5	45
Yekutieli	power	20	2.5	45
Structured_Holm	power	5	2.5	45
BH	fdp	0.14285714285714285	2.5	45
Leaf_BH	fdp	0	2.5	45
Focused_BH_original	fdp	0	2.5	45
Yekutieli	fdp	0	2.5	45
Structured_Holm	fdp	0	2.5	45
BH	power	7	2.5	58
Leaf_BH	power	5	2.5	58
Focused_BH_original	power	6	2.5	58
Yekutieli	power	0	2.5	58
Structured_Holm	power	5	2.5	58
BH	fdp	0	2.5	58
Leaf_BH	fdp	0	2.5	58
Focused_BH_original	fdp	0	2.5	58
Yekutieli	fdp	0	2.5	58
Structured_Holm	fdp	0	2.5	58
BH	power	5	2.5	71
Leaf_BH	power	2	2.5	71
Focused_BH_original	power	5	2.5	71
Yekutieli	power	14	2.5	71
Structured_Holm	power	5	2.5	71
BH	fdp	0.16666666666666666	2.5	71
Leaf_BH	fdp	0	2.5	71
Focused_BH_original	fdp	0	2.5	71
Yekutieli	fdp	0	2.5	71
Structured_Holm	fdp	0	2.5	71
BH	power	6	2.5	84
Leaf_BH	power	3	2.5	84
Focused_BH_original	power	6	2.5	84
Yekutieli	power	0	2.5	84
Structured_Holm	power	5	2.5	84
BH	fdp	0.25	2.5	84
Leaf_BH	fdp	0.25	2.5	84
Focused_BH_original	fdp	0.14285714285714285	2.5	84
Yekutieli	fdp	0	2.5	84
Structured_Holm	fdp	0	2.5	84
BH	power	9	2.5	97
Leaf_BH	power	8	2.5	97
Focused_BH_original	power	8	2.5	97
Yekutieli	power	28	2.5	97
Structured_Holm	power	5	2.5	97
BH	fdp	0.1	2.5	97
Leaf_BH	fdp	0	2.5	97
Focused_BH_original	fdp	0	2.5	97
Yekutieli	fdp	0	2.5	97
Structured_Holm	fdp	0	2.5	97
BH	power	9	2.5	110
Leaf_BH	power	8	2.5	110
Focused_BH_original	power	8	2.5	110
Yekutieli	power	28	2.5	110
Structured_Holm	power	5	2.5	110
BH	fdp	0.1	2.5	110
Leaf_BH	fdp	0.1111111111111111	2.5	110
Focused_BH_original	fdp	0.1111111111111111	2.5	110
Yekutieli	fdp	0	2.5	110
Structured_Holm	fdp	0	2.5	110
BH	power	7	2.5	123
Leaf_BH	power	1	2.5	123
Focused_BH_original	power	6	2.5	123
Yekutieli	power	21	2.5	123
Structured_Holm	power	5	2.5	123
BH	fdp	0.125	2.5	123
Leaf_BH	fdp	0	2.5	123
Focused_BH_original	fdp	0.14285714285714285	2.5	123
Yekutieli	fdp	0	2.5	123
Structured_Holm	fdp	0	2.5	123
BH	power	9	2.5	136
Leaf_BH	power	5	2.5	136
Focused_BH_original	power	7	2.5	136
Yekutieli	power	24	2.5	136
Structured_Holm	power	5	2.5	136
BH	fdp	0.1	2.5	136
Leaf_BH	fdp	0.16666666666666666	2.5	136
Focused_BH_original	fdp	0.125	2.5	136
Yekutieli	fdp	0	2.5	136
Structured_Holm	fdp	0	2.5	136
BH	power	7	2.5	149
Leaf_BH	power	4	2.5	149
Focused_BH_original	power	6	2.5	149
Yekutieli	power	28	2.5	149
Structured_Holm	power	5	2.5	149
BH	fdp	0.125	2.5	149
Leaf_BH	fdp	0.2	2.5	149
Focused_BH_original	fdp	0.14285714285714285	2.5	149
Yekutieli	fdp	0	2.5	149
Structured_Holm	fdp	0	2.5	149
BH	power	8	2.5	162
Leaf_BH	power	7	2.5	162
Focused_BH_original	power	8	2.5	162
Yekutieli	power	0	2.5	162
Structured_Holm	power	5	2.5	162
BH	fdp	0.2	2.5	162
Leaf_BH	fdp	0.125	2.5	162
Focused_BH_original	fdp	0.2	2.5	162
Yekutieli	fdp	0	2.5	162
Structured_Holm	fdp	0.16666666666666666	2.5	162
BH	power	5	2.5	175
Leaf_BH	power	0	2.5	175
Focused_BH_original	power	5	2.5	175
Yekutieli	power	26	2.5	175
Structured_Holm	power	5	2.5	175
BH	fdp	0	2.5	175
Leaf_BH	fdp	0	2.5	175
Focused_BH_original	fdp	0	2.5	175
Yekutieli	fdp	0	2.5	175
Structured_Holm	fdp	0	2.5	175
BH	power	10	2.5	188
Leaf_BH	power	9	2.5	188
Focused_BH_original	power	10	2.5	188
Yekutieli	power	27	2.5	188
Structured_Holm	power	5	2.5	188
BH	fdp	0	2.5	188
Leaf_BH	fdp	0	2.5	188
Focused_BH_original	fdp	0	2.5	188
Yekutieli	fdp	0	2.5	188
Structured_Holm	fdp	0	2.5	188
BH	power	8	2.5	201
Leaf_BH	power	3	2.5	201
Focused_BH_original	power	8	2.5	201
Yekutieli	power	0	2.5	201
Structured_Holm	power	5	2.5	201
BH	fdp	0.3333333333333333	2.5	201
Leaf_BH	fdp	0.25	2.5	201
Focused_BH_original	fdp	0.3333333333333333	2.5	201
Yekutieli	fdp	0	2.5	201
Structured_Holm	fdp	0.16666666666666666	2.5	201
BH	power	6	2.5	214
Leaf_BH	power	3	2.5	214
Focused_BH_original	power	6	2.5	214
Yekutieli	power	23	2.5	214
Structured_Holm	power	5	2.5	214
BH	fdp	0.25	2.5	214
Leaf_BH	fdp	0.25	2.5	214
Focused_BH_original	fdp	0.25	2.5	214
Yekutieli	fdp	0	2.5	214
Structured_Holm	fdp	0.16666666666666666	2.5	214
BH	power	6	2.5	227
Leaf_BH	power	4	2.5	227
Focused_BH_original	power	6	2.5	227
Yekutieli	power	32	2.5	227
Structured_Holm	power	6	2.5	227
BH	fdp	0.25	2.5	227
Leaf_BH	fdp	0	2.5	227
Focused_BH_original	fdp	0	2.5	227
Yekutieli	fdp	0	2.5	227
Structured_Holm	fdp	0	2.5	227
BH	power	5	2.5	240
Leaf_BH	power	3	2.5	240
Focused_BH_original	power	5	2.5	240
Yekutieli	power	0	2.5	240
Structured_Holm	power	5	2.5	240
BH	fdp	0	2.5	240
Leaf_BH	fdp	0	2.5	240
Focused_BH_original	fdp	0	2.5	240
Yekutieli	fdp	0	2.5	240
Structured_Holm	fdp	0	2.5	240
BH	power	12	3	3
Leaf_BH	power	10	3	3
Focused_BH_original	power	11	3	3
Yekutieli	power	39	3	3
Structured_Holm	power	7	3	3
BH	fdp	0.07692307692307693	3	3
Leaf_BH	fdp	0.09090909090909091	3	3
Focused_BH_original	fdp	0.08333333333333333	3	3
Yekutieli	fdp	0	3	3
Structured_Holm	fdp	0	3	3
BH	power	12	3	16
Leaf_BH	power	9	3	16
Focused_BH_original	power	9	3	16
Yekutieli	power	38	3	16
Structured_Holm	power	6	3	16
BH	fdp	0.14285714285714285	3	16
Leaf_BH	fdp	0.1	3	16
Focused_BH_original	fdp	0.1	3	16
Yekutieli	fdp	0	3	16
Structured_Holm	fdp	0	3	16
BH	power	14	3	29
Leaf_BH	power	14	3	29
Focused_BH_original	power	14	3	29
Yekutieli	power	0	3	29
Structured_Holm	power	7	3	29
BH	fdp	0	3	29
Leaf_BH	fdp	0	3	29
Focused_BH_original	fdp	0	3	29
Yekutieli	fdp	0	3	29
Structured_Holm	fdp	0	3	29
BH	power	16	3	42
