pvalue	V_oracle	V_permutation
0.020497774420897393	67	67
0.020553902068581223	67	67
0.020651084313993283	67	67
0.020777384658287594	68	68
0.020778784149799764	68	68
0.02092372304129687	69	69
0.021098246185414827	69	69
0.021162587389450812	70	70
0.021280759753871586	71	71
0.022169427186626078	72	72
0.02248083038751071	72	72
0.022602917492247212	72	72
0.0229639110357039	72	72
0.0229639110357039	72	72
0.0229639110357039	72	72
0.02309721230104146	72	72
0.02324987758871972	73	73
0.023602121435885273	73	73
0.02376544926679704	73	73
0.023778837682061373	74	74
0.023787621815943592	74	74
0.02381071457651942	74	74
0.02381071457651942	74	74
0.024192901970918182	75	75
0.024192901970918182	75	75
0.024192901970918182	75	75
0.02424191484143306	75	75
0.02424191484143306	75	75
0.02424191484143306	75	75
0.02424191484143306	75	75
0.02424191484143306	75	75
