method	metric	value	signal_strength	rep
Leaf_BH_2	fdp	0	1.5	80
Leaf_BH_3	fdp	0	1.5	80
Focused_BH_original	power	1	1.5	93
Leaf_BH_1	power	0	1.5	93
Leaf_BH_2	power	6	1.5	93
Leaf_BH_3	power	0	1.5	93
Focused_BH_original	fdp	0	1.5	93
Leaf_BH_1	fdp	0	1.5	93
Leaf_BH_2	fdp	0.25	1.5	93
Leaf_BH_3	fdp	0	1.5	93
Focused_BH_original	power	3	1.5	106
Leaf_BH_1	power	0	1.5	106
Leaf_BH_2	power	3	1.5	106
Leaf_BH_3	power	0	1.5	106
Focused_BH_original	fdp	0	1.5	106
Leaf_BH_1	fdp	0	1.5	106
Leaf_BH_2	fdp	0	1.5	106
Leaf_BH_3	fdp	1	1.5	106
Focused_BH_original	power	3	1.5	119
Leaf_BH_1	power	0	1.5	119
Leaf_BH_2	power	5	1.5	119
Leaf_BH_3	power	0	1.5	119
Focused_BH_original	fdp	0	1.5	119
Leaf_BH_1	fdp	0	1.5	119
Leaf_BH_2	fdp	0	1.5	119
Leaf_BH_3	fdp	0	1.5	119
Focused_BH_original	power	0	1.5	132
Leaf_BH_1	power	0	1.5	132
Leaf_BH_2	power	2	1.5	132
Leaf_BH_3	power	0	1.5	132
Focused_BH_original	fdp	0	1.5	132
Leaf_BH_1	fdp	0	1.5	132
Leaf_BH_2	fdp	0	1.5	132
Leaf_BH_3	fdp	0	1.5	132
Focused_BH_original	power	0	1.5	145
Leaf_BH_1	power	0	1.5	145
Leaf_BH_2	power	5	1.5	145
Leaf_BH_3	power	1	1.5	145
Focused_BH_original	fdp	0	1.5	145
Leaf_BH_1	fdp	0	1.5	145
Leaf_BH_2	fdp	0.2857142857142857	1.5	145
Leaf_BH_3	fdp	0.5	1.5	145
Focused_BH_original	power	1	1.5	158
Leaf_BH_1	power	0	1.5	158
Leaf_BH_2	power	2	1.5	158
Leaf_BH_3	power	0	1.5	158
Focused_BH_original	fdp	0	1.5	158
Leaf_BH_1	fdp	0	1.5	158
Leaf_BH_2	fdp	0	1.5	158
Leaf_BH_3	fdp	0	1.5	158
Focused_BH_original	power	0	1.5	171
Leaf_BH_1	power	0	1.5	171
Leaf_BH_2	power	5	1.5	171
Leaf_BH_3	power	1	1.5	171
Focused_BH_original	fdp	0	1.5	171
Leaf_BH_1	fdp	0	1.5	171
Leaf_BH_2	fdp	0	1.5	171
Leaf_BH_3	fdp	0	1.5	171
Focused_BH_original	power	2	1.5	184
Leaf_BH_1	power	0	1.5	184
Leaf_BH_2	power	2	1.5	184
Leaf_BH_3	power	0	1.5	184
Focused_BH_original	fdp	0.5	1.5	184
Leaf_BH_1	fdp	1	1.5	184
Leaf_BH_2	fdp	0.3333333333333333	1.5	184
Leaf_BH_3	fdp	1	1.5	184
Focused_BH_original	power	2	1.5	197
Leaf_BH_1	power	0	1.5	197
Leaf_BH_2	power	5	1.5	197
Leaf_BH_3	power	0	1.5	197
Focused_BH_original	fdp	0.3333333333333333	1.5	197
Leaf_BH_1	fdp	0	1.5	197
Leaf_BH_2	fdp	0	1.5	197
Leaf_BH_3	fdp	0	1.5	197
Focused_BH_original	power	3	1.5	210
Leaf_BH_1	power	0	1.5	210
Leaf_BH_2	power	6	1.5	210
Leaf_BH_3	power	1	1.5	210
Focused_BH_original	fdp	0.25	1.5	210
Leaf_BH_1	fdp	0	1.5	210
Leaf_BH_2	fdp	0	1.5	210
Leaf_BH_3	fdp	0	1.5	210
Focused_BH_original	power	1	1.5	223
Leaf_BH_1	power	0	1.5	223
Leaf_BH_2	power	5	1.5	223
Leaf_BH_3	power	0	1.5	223
Focused_BH_original	fdp	0	1.5	223
Leaf_BH_1	fdp	0	1.5	223
Leaf_BH_2	fdp	0	1.5	223
Leaf_BH_3	fdp	1	1.5	223
Focused_BH_original	power	0	1.5	236
Leaf_BH_1	power	0	1.5	236
Leaf_BH_2	power	3	1.5	236
Leaf_BH_3	power	0	1.5	236
Focused_BH_original	fdp	0	1.5	236
Leaf_BH_1	fdp	0	1.5	236
Leaf_BH_2	fdp	0	1.5	236
Leaf_BH_3	fdp	0	1.5	236
Focused_BH_original	power	1	1.5	249
Leaf_BH_1	power	0	1.5	249
Leaf_BH_2	power	7	1.5	249
Leaf_BH_3	power	0	1.5	249
Focused_BH_original	fdp	0.5	1.5	249
Leaf_BH_1	fdp	1	1.5	249
Leaf_BH_2	fdp	0.2222222222222222	1.5	249
Leaf_BH_3	fdp	0	1.5	249
Focused_BH_original	power	4	2	12
Leaf_BH_1	power	0	2	12
Leaf_BH_2	power	9	2	12
Leaf_BH_3	power	0	2	12
Focused_BH_original	fdp	0	2	12
Leaf_BH_1	fdp	0	2	12
Leaf_BH_2	fdp	0.18181818181818182	2	12
Leaf_BH_3	fdp	0	2	12
Focused_BH_original	power	6	2	25
Leaf_BH_1	power	0	2	25
Leaf_BH_2	power	9	2	25
Leaf_BH_3	power	0	2	25
Focused_BH_original	fdp	0.14285714285714285	2	25
Leaf_BH_1	fdp	0	2	25
Leaf_BH_2	fdp	0	2	25
Leaf_BH_3	fdp	0	2	25
Focused_BH_original	power	6	2	38
Leaf_BH_1	power	0	2	38
Leaf_BH_2	power	6	2	38
Leaf_BH_3	power	3	2	38
Focused_BH_original	fdp	0.14285714285714285	2	38
Leaf_BH_1	fdp	0	2	38
Leaf_BH_2	fdp	0.25	2	38
Leaf_BH_3	fdp	0	2	38
Focused_BH_original	power	2	2	51
Leaf_BH_1	power	0	2	51
Leaf_BH_2	power	4	2	51
Leaf_BH_3	power	1	2	51
Focused_BH_original	fdp	0	2	51
Leaf_BH_1	fdp	0	2	51
Leaf_BH_2	fdp	0.3333333333333333	2	51
