method	metric	value	signal_strength	rep
Structured_Holm	fdp	0	1.5	145
BH	power	0	1.5	158
Leaf_BH	power	0	1.5	158
Focused_BH_original	power	0	1.5	158
Yekutieli	power	0	1.5	158
Structured_Holm	power	0	1.5	158
BH	fdp	0	1.5	158
Leaf_BH	fdp	0	1.5	158
Focused_BH_original	fdp	0	1.5	158
Yekutieli	fdp	0	1.5	158
Structured_Holm	fdp	0	1.5	158
BH	power	0	1.5	171
Leaf_BH	power	0	1.5	171
Focused_BH_original	power	0	1.5	171
Yekutieli	power	0	1.5	171
Structured_Holm	power	0	1.5	171
BH	fdp	0	1.5	171
Leaf_BH	fdp	0	1.5	171
Focused_BH_original	fdp	0	1.5	171
Yekutieli	fdp	0	1.5	171
Structured_Holm	fdp	0	1.5	171
BH	power	0	1.5	184
Leaf_BH	power	0	1.5	184
Focused_BH_original	power	0	1.5	184
Yekutieli	power	0	1.5	184
Structured_Holm	power	0	1.5	184
BH	fdp	1	1.5	184
Leaf_BH	fdp	1	1.5	184
Focused_BH_original	fdp	1	1.5	184
Yekutieli	fdp	0	1.5	184
Structured_Holm	fdp	0	1.5	184
BH	power	0	1.5	197
Leaf_BH	power	0	1.5	197
Focused_BH_original	power	0	1.5	197
Yekutieli	power	0	1.5	197
Structured_Holm	power	0	1.5	197
BH	fdp	0	1.5	197
Leaf_BH	fdp	0	1.5	197
Focused_BH_original	fdp	0	1.5	197
Yekutieli	fdp	0	1.5	197
Structured_Holm	fdp	0	1.5	197
BH	power	0	1.5	210
Leaf_BH	power	0	1.5	210
Focused_BH_original	power	0	1.5	210
Yekutieli	power	0	1.5	210
Structured_Holm	power	0	1.5	210
BH	fdp	0	1.5	210
Leaf_BH	fdp	0	1.5	210
Focused_BH_original	fdp	0	1.5	210
Yekutieli	fdp	0	1.5	210
Structured_Holm	fdp	0	1.5	210
BH	power	0	1.5	223
Leaf_BH	power	0	1.5	223
Focused_BH_original	power	0	1.5	223
Yekutieli	power	0	1.5	223
Structured_Holm	power	0	1.5	223
BH	fdp	0	1.5	223
Leaf_BH	fdp	0	1.5	223
Focused_BH_original	fdp	0	1.5	223
Yekutieli	fdp	0	1.5	223
Structured_Holm	fdp	0	1.5	223
BH	power	0	1.5	236
Leaf_BH	power	0	1.5	236
Focused_BH_original	power	0	1.5	236
Yekutieli	power	0	1.5	236
Structured_Holm	power	0	1.5	236
BH	fdp	0	1.5	236
Leaf_BH	fdp	0	1.5	236
Focused_BH_original	fdp	0	1.5	236
Yekutieli	fdp	0	1.5	236
Structured_Holm	fdp	0	1.5	236
BH	power	0	1.5	249
Leaf_BH	power	0	1.5	249
Focused_BH_original	power	0	1.5	249
Yekutieli	power	0	1.5	249
Structured_Holm	power	0	1.5	249
BH	fdp	1	1.5	249
Leaf_BH	fdp	1	1.5	249
Focused_BH_original	fdp	1	1.5	249
Yekutieli	fdp	0	1.5	249
Structured_Holm	fdp	1	1.5	249
BH	power	0	2	12
Leaf_BH	power	0	2	12
Focused_BH_original	power	0	2	12
Yekutieli	power	0	2	12
Structured_Holm	power	0	2	12
BH	fdp	0	2	12
Leaf_BH	fdp	0	2	12
Focused_BH_original	fdp	0	2	12
Yekutieli	fdp	0	2	12
Structured_Holm	fdp	0	2	12
BH	power	3	2	25
Leaf_BH	power	4	2	25
Focused_BH_original	power	3	2	25
Yekutieli	power	0	2	25
Structured_Holm	power	1	2	25
BH	fdp	0	2	25
Leaf_BH	fdp	0.2	2	25
Focused_BH_original	fdp	0	2	25
Yekutieli	fdp	0	2	25
Structured_Holm	fdp	0	2	25
BH	power	0	2	38
Leaf_BH	power	0	2	38
Focused_BH_original	power	0	2	38
Yekutieli	power	0	2	38
Structured_Holm	power	0	2	38
BH	fdp	0	2	38
Leaf_BH	fdp	0	2	38
Focused_BH_original	fdp	0	2	38
Yekutieli	fdp	0	2	38
Structured_Holm	fdp	0	2	38
BH	power	3	2	51
Leaf_BH	power	3	2	51
Focused_BH_original	power	3	2	51
Yekutieli	power	0	2	51
Structured_Holm	power	2	2	51
BH	fdp	0	2	51
Leaf_BH	fdp	0	2	51
Focused_BH_original	fdp	0	2	51
Yekutieli	fdp	0	2	51
Structured_Holm	fdp	0	2	51
BH	power	0	2	64
Leaf_BH	power	0	2	64
Focused_BH_original	power	0	2	64
Yekutieli	power	0	2	64
Structured_Holm	power	0	2	64
BH	fdp	1	2	64
Leaf_BH	fdp	1	2	64
Focused_BH_original	fdp	1	2	64
Yekutieli	fdp	0	2	64
Structured_Holm	fdp	1	2	64
BH	power	2	2	77
Leaf_BH	power	2	2	77
Focused_BH_original	power	2	2	77
Yekutieli	power	0	2	77
Structured_Holm	power	2	2	77
BH	fdp	0	2	77
Leaf_BH	fdp	0	2	77
Focused_BH_original	fdp	0	2	77
Yekutieli	fdp	0	2	77
Structured_Holm	fdp	0	2	77
BH	power	0	2	90
Leaf_BH	power	0	2	90
Focused_BH_original	power	0	2	90
Yekutieli	power	0	2	90
Structured_Holm	power	0	2	90
BH	fdp	0	2	90
Leaf_BH	fdp	0	2	90
Focused_BH_original	fdp	0	2	90
Yekutieli	fdp	0	2	90
Structured_Holm	fdp	0	2	90
BH	power	0	2	103
Leaf_BH	power	0	2	103
Focused_BH_original	power	0	2	103
Yekutieli	power	0	2	103
Structured_Holm	power	0	2	103
BH	fdp	0	2	103
Leaf_BH	fdp	0	2	103
Focused_BH_original	fdp	0	2	103
Yekutieli	fdp	0	2	103
Structured_Holm	fdp	0	2	103
BH	power	0	2	116
Leaf_BH	power	0	2	116
Focused_BH_original	power	0	2	116
Yekutieli	power	0	2	116
Structured_Holm	power	0	2	116
BH	fdp	0	2	116
Leaf_BH	fdp	0	2	116
Focused_BH_original	fdp	0	2	116
